@relation sms

@attribute ncharacter real
@attribute ndollars real
@attribute nnumeric real
@attribute nuppercase real
@attribute type {ham, spam}

@data
116,0,0,0,ham
34,0,0,0,ham
161,0,25,3,spam
54,0,0,2,ham
66,0,0,1,ham
153,0,4,0,spam
82,0,0,0,ham
165,0,1,0,ham
163,0,19,1,spam
160,0,13,3,spam
114,0,0,0,ham
142,0,22,3,spam
161,0,20,7,spam
201,0,0,1,ham
40,0,0,8,ham
155,0,0,2,spam
31,0,0,0,ham
86,0,1,0,ham
61,0,0,0,ham
161,0,23,3,spam
46,0,0,0,ham
52,0,1,0,ham
57,0,0,0,ham
93,0,1,1,ham
62,0,0,1,ham
149,0,0,1,ham
35,0,0,0,ham
139,0,0,0,ham
80,0,0,0,ham
69,0,0,1,ham
135,0,0,0,ham
194,0,2,0,ham
34,0,0,1,ham
89,0,0,0,ham
164,0,1,4,spam
127,0,2,0,ham
52,0,0,0,ham
33,0,0,2,ham
32,0,0,1,ham
160,0,0,1,ham
87,0,0,1,ham
147,0,0,5,ham
178,0,22,1,spam
24,0,0,4,ham
77,0,0,2,ham
37,0,0,0,ham
50,0,0,0,ham
36,0,0,0,ham
72,0,0,1,ham
153,0,0,4,ham
63,0,0,0,ham
129,0,0,1,ham
85,0,0,1,ham
294,0,0,3,ham
126,0,0,3,spam
81,0,0,1,ham
167,0,24,3,spam
39,0,0,0,ham
27,0,0,0,ham
45,0,0,0,ham
113,1,1,1,ham
53,0,0,0,ham
30,0,0,1,ham
61,0,0,1,ham
115,0,0,0,ham
158,0,15,1,spam
127,0,0,0,ham
165,0,21,2,spam
84,0,0,0,spam
39,0,0,1,ham
51,0,0,0,ham
34,0,0,0,ham
50,0,0,10,ham
47,0,0,1,ham
25,0,0,1,ham
48,0,0,1,ham
78,0,0,0,ham
55,0,0,1,ham
47,0,0,0,ham
81,0,0,0,ham
27,0,0,0,ham
37,0,0,1,ham
37,0,0,0,ham
41,0,0,0,ham
19,0,0,0,ham
60,0,0,1,ham
126,0,1,2,ham
149,0,0,2,ham
47,0,0,0,ham
46,0,0,0,ham
63,0,0,0,ham
200,0,2,1,ham
146,0,1,2,ham
143,0,22,1,spam
112,0,3,2,ham
164,0,18,2,spam
38,0,0,0,ham
56,0,0,0,ham
183,0,0,0,ham
36,0,0,1,ham
62,0,0,1,ham
86,0,0,2,ham
81,0,1,0,ham
165,0,1,0,ham
188,0,0,2,ham
49,0,0,0,ham
100,0,0,0,ham
48,0,0,1,ham
87,0,0,0,ham
120,0,0,2,ham
35,0,0,1,ham
45,0,0,0,ham
36,0,0,0,ham
101,0,1,0,ham
164,0,22,2,spam
148,0,0,0,ham
161,0,1,3,ham
158,0,22,1,spam
77,0,0,0,ham
91,0,0,0,ham
150,0,34,1,spam
162,0,26,2,spam
58,0,0,0,ham
162,1,22,0,spam
57,0,2,1,ham
43,0,0,1,ham
25,0,0,0,ham
249,0,0,2,ham
27,0,0,0,ham
112,0,0,26,ham
33,0,0,1,ham
14,0,0,0,ham
44,0,0,0,ham
30,0,0,0,ham
131,0,8,3,spam
168,0,13,1,spam
43,0,0,1,ham
39,0,0,0,ham
51,0,0,1,ham
161,0,5,2,spam
90,0,0,3,ham
38,0,0,1,ham
32,0,0,0,ham
161,0,2,1,ham
47,0,0,1,ham
30,0,0,0,ham
53,0,0,0,ham
165,0,14,0,spam
89,0,0,0,ham
38,0,0,1,ham
35,0,0,0,ham
50,0,0,0,ham
64,0,2,0,ham
30,0,0,0,ham
165,0,1,0,ham
389,0,0,2,ham
33,0,0,0,ham
32,0,0,0,ham
162,0,0,0,ham
130,0,11,0,spam
151,0,20,1,spam
120,0,0,3,ham
69,0,0,0,ham
90,0,0,0,ham
158,0,13,9,spam
161,0,1,5,spam
56,0,0,1,ham
162,0,18,2,spam
79,0,0,0,ham
72,0,0,1,ham
64,0,0,0,ham
55,0,0,3,ham
99,0,1,0,ham
38,0,0,0,ham
110,0,0,0,ham
66,0,0,0,ham
70,0,0,0,ham
31,0,0,1,ham
151,1,0,0,ham
71,0,0,0,ham
131,0,0,2,ham
164,0,1,1,ham
28,0,0,1,ham
70,0,0,1,ham
29,0,0,0,ham
31,0,0,0,ham
157,0,0,0,ham
39,0,0,0,ham
153,0,22,2,spam
60,0,0,0,ham
93,0,0,2,ham
78,0,2,0,spam
190,0,0,0,ham
42,0,0,0,ham
116,0,0,1,ham
97,0,1,0,ham
33,0,0,0,ham
33,0,0,0,ham
69,0,1,0,ham
136,0,0,1,ham
45,0,0,1,ham
33,0,0,1,ham
89,0,0,0,ham
179,0,0,5,ham
29,0,0,0,ham
30,0,2,1,ham
68,0,0,1,ham
161,0,1,3,ham
33,0,0,0,ham
91,0,0,1,ham
44,0,0,0,ham
78,0,0,0,ham
31,0,0,0,ham
28,0,0,1,ham
28,0,0,0,ham
36,0,0,0,ham
63,0,0,0,ham
53,0,0,1,ham
46,0,0,0,ham
37,0,1,1,ham
164,0,0,1,ham
30,0,0,0,ham
166,0,0,0,ham
27,0,0,0,ham
124,0,0,2,ham
148,0,31,4,spam
74,0,0,0,ham
143,0,2,3,spam
35,0,0,0,ham
170,0,0,0,ham
39,0,0,0,ham
114,0,0,0,ham
42,0,0,0,ham
38,0,0,0,ham
53,0,0,0,ham
163,0,7,5,spam
55,0,0,1,ham
70,0,0,0,ham
43,0,0,0,ham
150,0,0,2,ham
151,0,24,4,spam
56,0,0,0,ham
50,0,0,6,ham
88,0,0,0,ham
160,0,1,0,ham
42,0,0,1,ham
83,0,0,2,ham
35,0,0,1,ham
36,0,1,0,ham
151,0,0,1,ham
156,0,22,2,spam
49,0,1,0,ham
184,0,0,0,ham
32,0,0,0,ham
184,0,2,0,ham
43,0,0,0,ham
102,0,0,0,ham
48,0,0,0,ham
41,0,0,1,ham
160,0,14,3,spam
77,0,0,1,ham
8,0,0,0,ham
90,0,0,0,ham
56,0,10,10,ham
127,0,13,1,spam
31,0,0,0,ham
40,0,0,0,ham
52,0,0,0,ham
165,0,19,3,spam
52,0,0,1,ham
139,0,0,1,spam
58,0,0,0,ham
152,0,0,0,ham
161,0,12,5,spam
42,0,1,1,ham
36,0,0,0,ham
13,0,0,0,ham
43,0,0,0,ham
35,0,0,0,ham
52,0,0,0,ham
61,0,0,0,ham
27,0,0,0,ham
148,0,0,0,ham
34,0,0,1,ham
12,0,0,0,ham
126,0,0,1,ham
63,0,0,2,ham
9,0,0,0,ham
153,0,1,0,ham
165,0,0,3,ham
157,0,0,0,ham
42,0,0,0,ham
60,0,0,1,ham
26,0,1,0,ham
27,0,0,0,ham
55,0,0,1,ham
165,0,13,5,spam
72,0,0,3,ham
158,0,0,9,ham
56,0,0,1,ham
72,0,0,0,ham
93,0,0,2,ham
162,0,0,0,ham
96,0,0,0,ham
29,0,0,0,ham
152,0,8,3,spam
62,0,0,1,ham
31,0,0,0,ham
76,0,0,0,ham
144,0,5,1,spam
60,0,0,0,ham
161,0,3,3,ham
139,0,18,4,spam
124,0,0,0,ham
147,0,2,4,ham
46,0,0,0,ham
31,0,0,1,ham
124,0,1,0,ham
51,0,0,0,ham
163,0,13,1,spam
28,0,0,0,ham
56,0,0,0,ham
67,0,0,0,ham
112,0,4,0,ham
162,0,0,0,ham
35,0,0,0,ham
37,0,0,0,ham
36,0,0,0,ham
84,0,0,0,ham
37,0,0,0,ham
91,0,0,0,ham
27,0,0,1,ham
81,0,0,0,ham
134,0,12,0,spam
237,0,0,1,ham
164,0,23,1,spam
50,0,0,1,ham
62,0,0,0,ham
31,0,0,0,ham
27,0,0,0,ham
46,0,0,1,ham
33,0,0,0,ham
156,0,4,1,ham
34,0,0,0,ham
39,0,0,0,ham
57,0,0,0,ham
38,0,0,0,ham
90,0,0,1,ham
36,0,0,0,ham
117,0,8,4,spam
83,0,0,0,ham
55,0,0,0,ham
68,0,0,0,ham
153,0,0,5,ham
134,0,0,1,ham
50,0,1,6,ham
207,0,0,3,ham
156,0,22,2,spam
154,0,28,3,spam
173,0,0,1,ham
90,0,0,1,ham
43,0,0,1,ham
20,0,0,0,ham
36,0,0,0,ham
93,0,0,1,ham
165,0,0,1,ham
55,0,0,1,ham
171,0,18,1,spam
135,0,17,0,spam
31,0,0,0,ham
36,0,0,0,ham
134,0,0,4,ham
39,0,0,1,ham
59,0,0,0,ham
167,0,0,1,ham
163,0,14,1,spam
28,0,0,0,ham
58,0,0,0,ham
136,0,0,0,ham
41,0,0,0,ham
148,0,0,1,ham
305,0,0,1,ham
64,0,0,0,ham
47,0,0,0,ham
46,0,3,0,ham
155,0,16,1,spam
27,0,1,0,ham
36,0,0,0,ham
35,0,0,0,ham
161,0,16,1,spam
52,0,0,1,ham
30,0,0,0,ham
85,0,0,0,ham
27,0,0,0,ham
120,0,0,2,ham
61,0,3,0,ham
107,0,0,0,ham
123,0,1,0,ham
226,0,0,0,ham
209,0,0,1,ham
119,0,0,0,ham
162,0,28,4,spam
44,0,0,0,ham
41,0,0,0,ham
53,0,0,0,ham
82,0,0,0,ham
65,0,0,1,ham
173,0,0,0,ham
56,0,0,0,ham
27,0,0,0,ham
157,0,0,1,ham
80,0,0,0,ham
35,0,0,0,ham
100,0,0,0,ham
29,0,0,1,ham
55,0,19,0,spam
40,0,0,0,ham
34,0,0,0,ham
112,0,10,5,spam
71,0,0,0,ham
165,0,31,5,spam
53,0,0,0,ham
168,0,19,0,spam
29,0,0,0,ham
142,0,21,2,spam
253,0,9,0,ham
30,0,0,1,ham
32,0,0,0,ham
42,0,0,0,ham
73,0,1,0,ham
155,0,0,2,ham
29,0,0,0,ham
85,0,0,0,ham
163,0,33,0,spam
30,0,0,0,ham
78,0,0,0,ham
94,0,0,0,ham
63,0,0,0,ham
41,0,0,0,ham
81,0,2,1,ham
52,0,0,1,ham
109,0,0,0,ham
43,0,0,1,ham
74,0,0,2,ham
27,0,0,0,ham
126,0,0,16,ham
99,0,0,1,ham
75,0,0,0,ham
78,0,0,1,ham
47,0,0,1,ham
22,0,2,0,ham
18,0,0,0,ham
50,0,0,0,ham
62,0,0,1,ham
110,0,0,0,ham
168,0,19,0,spam
52,0,0,1,ham
120,0,0,23,ham
163,0,0,1,ham
84,0,3,0,ham
147,0,0,0,ham
67,0,0,0,ham
76,0,0,0,ham
181,0,13,4,spam
34,0,0,0,ham
34,0,0,0,ham
153,0,0,2,ham
88,0,0,0,ham
42,0,0,0,ham
49,0,2,0,ham
50,0,0,0,ham
167,0,24,2,spam
55,0,0,0,ham
303,0,1,1,ham
165,0,13,1,spam
130,0,2,2,ham
56,0,0,0,ham
33,0,0,0,ham
39,0,0,0,ham
51,0,1,2,ham
86,0,0,1,ham
33,0,0,0,ham
95,0,0,0,ham
23,0,0,0,ham
59,0,0,1,ham
60,0,0,0,ham
50,0,1,0,ham
152,0,14,4,spam
45,0,0,0,ham
112,0,2,0,ham
55,0,0,1,ham
125,0,0,2,ham
166,0,24,3,spam
37,0,0,0,ham
39,0,0,0,ham
37,0,0,0,ham
21,0,0,0,ham
72,0,0,0,ham
60,0,0,0,ham
48,0,1,0,ham
28,0,0,0,ham
154,0,1,0,ham
25,0,0,0,ham
28,0,0,0,ham
45,0,0,1,ham
175,0,41,2,spam
122,0,1,0,ham
67,0,0,0,ham
171,0,0,1,ham
29,0,0,0,ham
141,0,9,0,ham
104,0,1,0,ham
50,0,0,0,ham
28,0,0,0,ham
30,0,0,0,ham
153,0,18,1,spam
31,0,0,1,ham
152,0,10,4,spam
95,0,0,0,spam
173,0,0,0,ham
122,0,0,1,ham
51,0,0,0,ham
31,0,0,0,ham
33,0,0,0,ham
37,0,0,0,ham
150,0,24,2,spam
62,0,1,0,ham
164,0,24,3,spam
47,0,0,0,ham
